学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次
河北师范大学,普通本科,604.00,--,588.00,53141,588,平行录取一段
河北师范大学,普通本科,--,--,579.00,63129,490,平行录取二段
河北北方学院,普通本科,--,--,588.00,53141,588,平行录取一段
河北北方学院,普通本科,--,--,580.00,62030,490,平行录取二段
邢台学院,普通本科,--,--,550.00,94794,490,平行录取二段
山东师范大学,普通本科,618.00,596.00,588.00,53141,588,平行录取一段
山东师范大学,普通本科,--,--,582.00,59826,490,平行录取二段
唐山师范学院,普通本科,--,--,--,--,--,--
廊坊师范学院,普通本科,572.00,--,550.00,94794,490,平行录取二段
衡水学院,普通本科,--,--,548.00,96962,490,平行录取二段
石家庄学院,普通本科,--,--,--,--,--,--
邯郸学院,普通本科,--,--,551.00,93653,490,平行录取二段
邯郸学院,普通本科,--,--,562.00,81741,344,平行录取三段
保定学院,普通本科,--,--,--,--,--,--
沧州师范学院,普通本科,--,--,--,--,--,--
首都师范大学继续教育学院,其他,--,--,--,--,--,--
陕西学前师范学院,普通本科,--,--,--,--,--,--
四川民族学院,普通本科,--,--,--,--,--,--
阿坝师范学院,普通本科,--,--,--,--,--,--
华北理工大学轻工学院,独立学院,--,--,--,--,--,--
南通大学,普通本科,611.00,586.00,571.00,71762,588,平行录取一段
南通大学,普通本科,--,--,571.00,71762,490,平行录取二段
广西外国语学院,普通本科,--,--,505.00,142217,490,平行录取二段
山东协和学院,普通本科,--,--,490.00,156885,490,平行录取二段
山东协和学院,普通本科,--,--,455.00,186498,344,平行录取三段
郑州升达经贸管理学院,普通本科,--,--,--,--,--,--
山西工商学院,普通本科,--,--,--,--,--,--
商丘学院,独立学院,--,--,--,--,--,--
四川文理学院,普通本科,--,--,--,--,--,--
成都师范学院,普通本科,--,--,--,--,--,--
北京吉利学院,普通本科,558.00,--,490.00,156885,490,平行录取二段
北京吉利学院,普通本科,507.00,--,386.00,223122,344,平行录取三段
河南师范大学,普通本科,--,--,597.00,43871,588,平行录取一段
河南师范大学,普通本科,601.00,--,553.00,91440,490,平行录取二段
南昌师范学院,普通本科,--,--,--,--,--,--
南阳理工学院,普通本科,564.00,551.00,538.00,107751,490,平行录取二段
张家口学院,普通本科,--,--,--,--,--,--
江西科技学院,普通本科,--,--,490.00,156885,490,平行录取二段
江西科技学院,普通本科,--,--,344.00,234340,344,平行录取三段
豫章师范学院,普通本科,--,--,549.00,95883,490,平行录取二段
豫章师范学院,普通本科,--,--,438.00,198276,344,平行录取三段
信阳师范学院,普通本科,553.00,--,552.00,92541,490,平行录取二段
安阳师范学院,普通本科,606.00,561.00,553.00,91440,588,平行录取一段
安阳师范学院,普通本科,--,--,553.00,91440,490,平行录取二段
平顶山学院,普通本科,--,--,--,--,--,--
萍乡学院,普通本科,567.00,--,490.00,156885,490,平行录取二段
萍乡学院,普通本科,--,--,495.00,152160,344,平行录取三段
景德镇学院,普通本科,--,--,490.00,156885,490,平行录取二段
景德镇学院,普通本科,--,--,479.00,166895,344,平行录取三段
