学校名,办学类型,最高分,平均分,最低分,最低排名,省控线,录取批次,开设专业
淮北师范大学信息学院,独立学院,--,--,--,--,--,--,师范 学前教育
信阳师范学院,普通本科,553.00,--,552.00,92541,490,平行录取二段,师范 人文教育 教育学 学前教育 教育技术学 小学教育
安阳师范学院,普通本科,606.00,561.00,553.00,91440,588,平行录取一段,师范 教育学 学前教育 教育技术学 小学教育
安阳师范学院,普通本科,--,--,553.00,91440,490,平行录取二段,师范 教育学 学前教育 教育技术学 小学教育
咸阳师范学院,普通本科,563.00,556.50,550.00,94794,490,平行录取二段,师范 学前教育 教育技术学 小学教育
渭南师范学院,普通本科,559.00,550.00,541.00,104530,490,平行录取二段,师范 人文教育 教育学 学前教育 科学教育 教育技术学 小学教育
阜阳师范学院信息工程学院,独立学院,--,--,531.00,115060,490,平行录取二段,师范
青海师范大学,普通本科,--,--,--,--,--,--,师范 学前教育 教育技术学 小学教育
江西师范大学科学技术学院,独立学院,560.00,545.00,530.00,116093,490,平行录取二段,师范 学前教育 小学教育
拉萨师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
河北师范大学汇华学院,独立学院,--,--,--,--,--,--,师范 学前教育 教育康复学 特殊教育 小学教育
焦作师范高等专科学校,专科（高职）,--,--,490.00,156885,490,平行录取二段,师范
焦作师范高等专科学校,专科（高职）,494.00,490.00,480.00,166027,344,平行录取三段,师范
长春师范大学,普通本科,--,--,550.00,94794,490,平行录取二段,师范 人文教育 教育学 学前教育 科学教育 教育技术学 小学教育
赣南师范大学科技学院,独立学院,--,--,--,--,--,--,师范 教育学 学前教育 教育技术学 小学教育
吉林师范大学,普通本科,579.00,--,558.00,86164,588,平行录取一段,师范 教育学 学前教育 教育技术学 小学教育
吉林师范大学,普通本科,565.00,--,556.00,88305,490,平行录取二段,师范 教育学 学前教育 教育技术学 小学教育
江西科技师范大学理工学院,独立学院,--,--,541.00,104530,490,平行录取二段,师范
泉州幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
济南幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
吉林工程技术师范学院,普通本科,550.00,--,548.00,96962,490,平行录取二段,师范 教育学 教育技术学
衡阳师范学院,普通本科,567.00,549.00,536.00,109773,490,平行录取二段,师范 学前教育 教育技术学
首都师范大学科德学院高教自考,其他,--,--,--,--,--,--,师范
通化师范学院,普通本科,--,--,547.00,98072,490,平行录取二段,师范 教育学 学前教育 教育技术学
白城师范学院,普通本科,--,--,516.00,130919,490,平行录取二段,师范 学前教育 教育技术学 小学教育
福建幼儿师范高等专科学校,专科（高职）,--,--,--,--,--,--,师范
湖南第一师范学院,普通本科,581.00,569.00,558.00,86164,490,平行录取二段,师范 学前教育 科学教育 教育技术学 小学教育
南京师范大学泰州学院,独立学院,--,--,530.00,116093,490,平行录取二段,师范 学前教育 小学教育
湖南师范大学树达学院,独立学院,--,--,--,--,--,--,师范 学前教育
华中师范大学,普通本科,653.00,644.17,638.00,12067,588,平行录取一段,师范 教育学 学前教育 艺术教育 科学教育 特殊教育 教育技术学
衡阳师范学院南岳学院,独立学院,--,--,--,--,--,--,师范 学前教育
